Ana Klasör,Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,to,"karşı, -mek/-mak, kadar",edat,A1,,It's up to me.,Bu bana bağlı.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,today,"bugün, içinde bulunulan dönem, zamane",fiil,B1,,Can I do it today?,Onu bugün yapabilir miyim?
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,together,"birlikte, beraber, kuyruk",isim,B2,,We'll do it together.,Onu birlikte yapacağız.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,tomb,"mezar, türbe, gömmek",isim,B1,,I wonder who's buried in that tomb.,O mezarda kimin gömülü olduğunu merak ediyorum.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,tomorrow,"yarın, gelecekte",fiil,B2,,I can't go tomorrow.,Yarın gidemem.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,tone,"ton, yumuşatmak, uyuşmak",isim,B1,,I don't like your tone.,Ben senin ses tonunu sevmiyorum.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,too,"gereğinden çok, çok, aşırı",fiil,B1,,"I'll do it, too.",Ben de onu yapacağım.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,tool,"araç, alet, arabada gitmek",isim,B1,,This is the best tool to use.,Bu kullanmak için en iyi alet.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",tooth,"diş, dişle kaplamak, pütürlü yapmak",isim,B1,,I had a tooth pulled.,Ben bir diş çektirdim.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,top,"tepe, baş, üst",isim,B1,,He came out on top.,O zirveye yaklaştı.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,topic,"konu, başlık, bahis",sıfat,B1,,Don't change the topic.,Konuyu değiştirme.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,torn,"yırtık, kopuk, ayrılmış",sıfat,B1,,I had my thumbnail torn off.,Baş parmak tırnağımı kırdım.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,total,"toplam, tutar, bulmak",sıfat,B1,,I'm a total wreck.,Ben tam bir enkazım.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),totally,"bütünüyle, tamamen, tamamıyla",zarf,B2,,He's totally lost it.,O delirdi.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,touch,"ellemek, dokunmak, değmek",isim,B1,,I'll be in touch.,Ben irtibat halinde olacağım.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,touching,"dokunaklı, acıklı, yanık",sıfat,B2,,I'm not touching it.,Ben ona dokunmuyorum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,tough,"zorlu, çetin, zor",sıfat,B1,,I had a tough day.,Zor bir gün geçirdim.
Kütüphane: Bağlaçlar & Edatlar,Zaman ve Süreç Edatları,towards,"doğru, karşı, -e doğru",edat,B2,,The dog ran towards me.,Köpek bana doğru koştu.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,town,"şehir, kasaba, şehir merkezi",isim,A1,,I'll be in town.,Şehirde olacağım.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,towns,"kasabalar, ilçeler",isim,B1,,"You hate small towns, right?","Küçük kasabalardan nefret ediyorsun, değil mi?"
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,toxic,"zehirli, toksik, çok zararlı",sıfat,B1,,Lead is a toxic metal.,Kurşun toksik bir metaldir.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,trace,"iz sürmek, izini sürmek, izlemek",isim,B1,,There was no trace of him.,Ondan hiçbir iz yoktu.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,track,"izlemek, iz, yol",isim,B1,,We're on track now.,Biz şimdi yoldayız.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,traditional,"geleneksel, ananevi, göreneksel",sıfat,C1,,Sing me a traditional song.,Bana geleneksel bir şarkı söyle.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,trainer,"eğitimci, eğitici, antrenör",isim,B2,,I'm a dog trainer.,Ben bir köpek eğitmeniyim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,training,"eğitim, alıştırma, idman",isim,B2,,I'm still in training.,Hâlâ stajdayım.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,transfer,"nakletmek, aktarmak, devretmek",isim,B2,,Do I need to transfer?,Benim transfer etmem gerekiyor mu?
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,transform,"dönüşmek, dönüştürmek, çevirmek",fiil,B2,,Repetition does not transform a lie into a truth.,Tekrarlama bir yalanı gerçeğe dönüştürmez.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,transformation,"dönüşüm, dönüştürme, inkılap",isim,C1,,The investigation highlighted the critical role of transformation.,Soruşturma dönüşüm kavramının kritik rolünü vurguladı.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,transforming,"dönüştürücü, dönüşmekte olan, dönüşen",sıfat,C1,,The empirical results of the study were remarkably transforming.,Çalışmanın ampirik sonuçlarının son derece dönüştürücü olduğu görüldü.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,transmit,"iletmek, ulaştırmak, yayınlamak",fiil,B2,,We have to transmit our culture to the next generation.,Biz gelecek nesillere kültürümüzü aktarmak zorundayız.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,transnational,"uluslaraşırı, transnasyonal, uluslararası",sıfat,C1,,The empirical results of the study were remarkably transnational.,Çalışmanın ampirik sonuçlarının son derece uluslaraşırı olduğu görüldü.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,transparency,"şeffaflık, saydamlık, diyapozitif",isim,C1,,Is transparency a bad thing?,Şeffaflık kötü bir şey mi?
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,transport,"taşımak, nakletmek, nakil",isim,B2,,The box was crushed during transport and the contents flew out.,Taşıma sırasında kutu ezildi ve içindekiler dışarı uçtu.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,transportation,"taşıma, nakliye, ulaştırma",isim,C1,,We have no means of transportation.,Taşımacılık araçlarımız yok.
Kütüphane: Temel Kelimeler (A1-A2),Günlük Eylemler ve Sıfatlar,travel,"gezmek, seyahat etmek, yolculuk etmek",fiil,A1,,It's fun to travel.,Seyahat etmek eğlencelidir.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,treat,"davranmak, işlemek, muamele etmek",fiil,B1,"cure, heal, medicate",I got you a treat.,Sana bir ikramım var.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,treated,"işlem görmüş, arıtılmış, davranılmış",sıfat,B2,,How are you being treated?,Nasıl tedavi ediliyorsun?
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",treatment,"tedavi, sağlık bakımı, muamele",isim,B2,"medication, cure, therapy, remedy",I expect no special treatment.,Özel muamele görmeyi beklemiyorum.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",treatments,"yeni tedaviler, iklimsel özel vasıtalar ve tıbbi tedavi konularında karşılıklı yardıma dair avrupa sözleşmesi, alüminyum alaşımlarının anodik işlemleri",isim,C1,,How much will all the treatments cost?,Tüm tedaviler ne kadara mal olacak?
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,tree,"ağaç, ağaca çıkarmak, ağaçlarla örtmek",isim,A1,,It's a dead tree.,O ölü bir ağaç.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,trek,"göçmek, öküz arabasıyla yol almak, kağnı ile gitmek",fiil,B1,,What's your favorite Star Trek episode?,Favori Star Trek bölümünüz hangisidir?
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,trekking,"yolculuk etme, yürüyüş, doğa yürüyüşü",isim,B2,,The investigation highlighted the critical role of trekking.,Soruşturma yolculuk etme kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,trend,"eğilim göstermek, meyletmek, eğimli olmak",isim,B1,,This is a new trend.,Bu yeni bir moda.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,trends,"eğilimler, trendler",isim,B1,,I gave up keeping up with trends.,Tendlere yetişmekten vazgeçtim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,trial,"yargılama, duruşma, deneme",sıfat,B1,,When was Tom's trial?,Tom'un testi ne zamandı?
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,trick,"oyuna getirmek, oyun etmek, kandırmak",isim,B1,,It's not a trick.,Bu bir hile değil.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,tricks,"çeşitli ufak tefek eşyalar, şahsi eşyalar, pılı pırtı",isim,B1,,Don't try any tricks.,Herhangi bir hile yapma.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,tried,"mücerrep, saf, sınanmış",sıfat,B1,,I tried to do it.,Bunu yapmaya çalıştım.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,trigger,"tetiklemek, tetik, tetiği çekip ateşlemek",isim,B2,,Don't pull the trigger.,Tetiği çekme.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,triggered,"tetiklenmiş, ateşlenmiş, tetikli",sıfat,B2,,Their small protest triggered a mass demonstration.,Onların küçük protestosu kitlesel bir gösteriyi tetikledi.
Kütüphane: Temel Kelimeler (A1-A2),Günlük Eylemler ve Sıfatlar,trip,"seyahat, yolculuk, gezi",fiil,A1,,Let's take a trip.,Bir gezi yapalım.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,trouble,"sorun, dert, zahmet",isim,B2,,I'm in bad trouble.,Başım kötü belada.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,troubles,"beliyyat, sorunlar",isim,B2,,That's what troubles me.,Beni rahatsız eden bu.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,truck,"kamyon, takas etmek, trampa etmek",isim,B1,,I'll get my truck.,Kamyonumu alacağım.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,trucks,"kamyonet, canavar kamyonlar, beton karıştırıcı",isim,B1,,A lot of people around here drive trucks.,Buralarda birçok insan kamyon sürer.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,trunk,"gövde, kutuya koymak, bagaja koymak",isim,B1,,Has my trunk come yet?,Bavulum geldi mi?
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,trust,"güvenmek, güven, inancı olmak",isim,B1,,I can't trust Tom.,Tom'a güvenemem.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,trustworthy,"güvenilir, harbi, sağlam",sıfat,C1,,I believe that he's trustworthy.,Onun güvenilir olduğuna inanıyorum.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,try,"denemek, deneme, yoklamak",fiil,B1,,Can I try it on?,Onu deneyebilir miyim?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,trying,"deneme, zor, sıkıntılı",sıfat,B1,,I'm trying my best.,Elimden geleni yapıyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,tube,"tüp, boru, tüp içine koymak",isim,B1,,Please buy a tube of toothpaste.,Lütfen bir tüp diş macunu al.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,tumor,"ur, tümör, şiş",isim,B1,,I have a brain tumor.,Bir beyin tümörüm var.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,tumors,tümörler,isim,B1,,The investigation highlighted the critical role of tumors.,Soruşturma tümörler kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,tunnel,"tünel, tünel açmak, tünelden geçmek",isim,B1,,Don't go through this tunnel.,Bu tünelden gitme.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,turkey,"türkiye, hindi, işleri yüzüne gözüne bulaştıran kimse",isim,B1,,I eat a lot of turkey.,Çok hindi yerim.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,turn,"dönmek, döndürmek, çevirmek",fiil,B1,,I made a U-turn.,U dönüşü yaptım.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,turning,"çevirme dili, köşe, dönüş yeri",isim,B2,,I'm not turning back.,Ben geri dönmüyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,tutor,"özel öğretmen, ders vermek, özel ders vermek",isim,B1,,We hired a chemistry tutor for Tom.,Tom için özel kimya dersi tuttuk.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,two,"iki, iskambilde ikili, iki rakamı",isim,A1,,We won six to two.,Biz altı iki kazandık.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,type,"yazmak, tür, tip",isim,B1,,I'm not her type.,Onun tipi değilim.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,typewriter,"daktilo, yazı makinesi, daktilo makinesi",isim,C1,,May I use your typewriter?,Ben senin daktilonu kullanabilir miyim?
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,ultimate,"nihai, son, sonuç",fiil,B2,,It's the ultimate test.,Bu nihai test.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,ultra,"aşırı, uç görüşlü kimse, son derece",sıfat,B1,,The empirical results of the study were remarkably ultra.,Çalışmanın ampirik sonuçlarının son derece aşırı olduğu görüldü.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,un,un,isim,B1,,What does UN stand for?,BM ne anlama geliyor?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,uncertain,"belirsiz, bilinmez, şüpheli",sıfat,B2,,It's uncertain if he'll come.,Onun gelip gelmeyeceği belirsiz.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,unchange,"eski haline getirmek, önceki haline getirmek, değişmemek",fiil,B2,,The research committee agreed to unchange the proposed methodology.,Araştırma komitesi önerilen metodolojiyi eski haline getirmek konusunda mutabık kaldı.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,unchanged,"değiştirilmemiş, değişmemiş, değiştirilemez",sıfat,B2,,The empirical results of the study were remarkably unchanged.,Çalışmanın ampirik sonuçlarının son derece değiştirilmemiş olduğu görüldü.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,unclear,"belirsiz, zor anlaşılır, açık olmayan",sıfat,B2,,It's unclear what went wrong.,Neyin yanlış gittiği belirsiz.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,uncover,"ortaya çıkarmak, örtüsünü kaldırmak, açmak",isim,B2,,I'm just trying to uncover the truth.,Ben sadece gerçeği ortaya çıkarmaya çalışıyorum.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,under,"altında, alt, az",edat,B1,,It's under the bed.,Yatağın altında.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,undergoing,"süregelen, süren",sıfat,C1,,The website was undergoing maintenance.,Web sitesi bakım geçiriyor.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,underneath,"altında, bir şeyin alt bölümü, bir şeyin alt kısmı",edat,B2,,The mouse ran underneath the bed.,Fare yatağın altına kaçtı.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,understanding,"kavrayış, anlama, anlayış",isim,C1,,I keep on not understanding.,Anlamamaya devam ediyorum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,undesired,"istenmeyen, arzu edilmeyen, istenmedik",sıfat,B2,,The empirical results of the study were remarkably undesired.,Çalışmanın ampirik sonuçlarının son derece istenmeyen olduğu görüldü.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,une,"doğru, kesir çizgisi, yanal doğru",isim,B1,,The investigation highlighted the critical role of une.,Soruşturma doğru kavramının kritik rolünü vurguladı.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,unequal,"eşitsiz, eşit olamayan, oransız",sıfat,B2,,The empirical results of the study were remarkably unequal.,Çalışmanın ampirik sonuçlarının son derece eşitsiz olduğu görüldü.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,unevenness,"düzgünsüzlük, pürüz, yamukluk",isim,C1,,The investigation highlighted the critical role of unevenness.,Soruşturma düzgünsüzlük kavramının kritik rolünü vurguladı.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,unexpected,"beklenmedik, beklenmeyen, ummadık",sıfat,C1,,It's just so unexpected.,Bu sadece çok beklenmedik.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,unfavorable,"elverişsiz, olumsuz, ters",sıfat,C1,,The empirical results of the study were remarkably unfavorable.,Çalışmanın ampirik sonuçlarının son derece elverişsiz olduğu görüldü.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,unfinished,"işlenmemiş, yarım kalmış, yarım",sıfat,C1,,We had some unfinished business.,Biraz bitmemiş işimiz vardı.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),unfortunately,"maalesef, aksi gibi, ne yazık ki",zarf,C1,,"Unfortunately, it's a hoax.",Ne yazık ki bu bir aldatmaca.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,unfreeze,"unfroze - unfrozen, serbest bırakmak, buzunu çözmek",fiil,B2,,The research committee agreed to unfreeze the proposed methodology.,Araştırma komitesi önerilen metodolojiyi unfroze - unfrozen konusunda mutabık kaldı.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,unique,"emsalsiz, benzersiz, kendine mahsus",sıfat,B1,,We have a unique bond.,Benzersiz bir bağımız var.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,unite,"birleşmek, birleştirmek, raptetmek",fiil,B1,,The two companies plan to unite.,İki şirket birleşmeyi planlıyor.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,unlike,"farklı, benzemez, birbirine benzemeyen",sıfat,B1,,That's so unlike you.,O sana çok benzemiyor.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),unluckily,"şanssızlık eseri, aksi tesadüf, maalesef",zarf,B2,,The empirical results of the study were remarkably unluckily.,Çalışmanın ampirik sonuçlarının son derece şanssızlık eseri olduğu görüldü.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,unparallel,"eğri, paralel olmayan",sıfat,C1,,The empirical results of the study were remarkably unparallel.,Çalışmanın ampirik sonuçlarının son derece eğri olduğu görüldü.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,unprecedented,"eşi benzeri görülmemiş, eşi görülmemiş, yeni",sıfat,C1,,The price jump was unprecedented.,Fiyat sıçramasının eşi benzeri görülmemişti.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,unrest,"huzursuzluk, bozgun, kargaşa",isim,B1,,The unrest lasted three days.,Huzursuzluk üç gün sürdü.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,unsafe,"güvenli olmayan, emin olmayan, güvenilmez",sıfat,B1,,I don't feel unsafe.,Emniyetsiz hissetmiyorum.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,unsuitable,"uygunsuz, olmayacak, uymaz",sıfat,C1,,"In my opinion, it's quite unsuitable.","Bence, o oldukça uygunsuz."
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,untreatable,"tedavisiz, tedavisi imkansız, tedavi edilemez",sıfat,C1,,The empirical results of the study were remarkably untreatable.,Çalışmanın ampirik sonuçlarının son derece tedavisiz olduğu görüldü.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,unwanted,"istenilmeyen, istenmemiş, istenmeyen",sıfat,B2,,I keep receiving unwanted emails.,İstemediğim e-postaları almaya devam ediyorum.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,up,"yukarı, yükseltmek, artırmak",edat,B1,,It's up to me.,Bu bana bağlı.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,updated,"günümüze en yakın tarihte hazırlanmış, yenilenmiş, güncellenen",sıfat,B2,,We'll keep you updated.,Sizi gelişmelerden haberdar edeceğiz.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,upheaval,"yükselme, devrim, kabarma",sıfat,B2,,The empirical results of the study were remarkably upheaval.,Çalışmanın ampirik sonuçlarının son derece yükselme olduğu görüldü.
Kütüphane: Bağlaçlar & Edatlar,Zaman ve Süreç Edatları,upon,"üzerine, üzerinde, üstünde",edat,B1,,You can rely upon him.,Ona güvenebilirsiniz.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,upper,"üst, yukarı, saya",isim,B1,,He belongs to the upper class.,"O, üst sınıfa aittir."
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,urban,"şehirsel, kentsel, şehir",sıfat,B1,,Isn't that just an urban legend?,Bu sadece bir şehir efsanesi değil mi?
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,ure,"üre, yaban öküzü",isim,B1,,The investigation highlighted the critical role of ure.,Soruşturma üre kavramının kritik rolünü vurguladı.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,urge,"dürtü, dürtmek, ısrar etmek",fiil,B1,,We urge you to be patient.,Sabırlı olmanı ısrarla tavsiye ediyoruz.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,us,"biz, abd, bizi",zamir,B1,,It's up to us.,Bu bize kalmış.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,use,"kullanmak, kullanım, kullanma",isim,B1,,I can't use it.,Onu kullanamam.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,useful,"faydalı, yararlı, kullanışlı",sıfat,B1,,I hope it's useful.,Umarım yararlıdır.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,usefulness,"fayda, hayır, faydalılık",isim,C1,,The investigation highlighted the critical role of usefulness.,Soruşturma fayda kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,users,"bir malı tüketenler veya onu ara malı olarak talep edenler, kullanıcılar, kişiler",isim,B1,,Refer to the Users' Guide if you have any problems.,Herhangi bir sorununuz varsa Kullanıcı Kılavuzu'na bakın.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,using,"kullanma, kullanan, kullanılan",sıfat,B1,,I'm using that cup.,Ben o fincanı kullanıyorum.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),usually,"genellikle, çoğunlukla, çoğu zaman",zarf,B2,,I don't usually cry.,Genellikle ağlamam.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,utilize,"faydalı hale getirmek, yararlanmak, yarar sağlamak",fiil,B2,,We had better utilize our natural resources.,Doğal kaynaklarımızdan faydalansak iyi olur.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,utter,"dile getirmek, basmak, buyurmak",isim,B1,,He was an utter stranger.,Tam bir yabancıydı.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),utterly,"tümüyle, tamamen, düpedüz",zarf,B2,,The report is utterly false.,Rapor tamamen yanlış.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,vacation,"tatil, tatil yapmak, izin",isim,B2,,I'm here on vacation.,Tatil için buradayım.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",vaccination,"aşılama, aşı yapma, aşı",isim,C1,,The vaccination left a funny little mark on my arm.,Aşı kolumda komik küçük bir iz bıraktı.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",vaccine,"aşı, aşı maddesi, aşıya ait",isim,B2,,Do you have the vaccine?,Aşınız var mı?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,vague,"şüpheli, kararsız, anlaşılmaz",sıfat,B1,,It's a vague story.,O belirsiz bir hikaye.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,value,"değer vermek, paha biçmek, değer biçmek",isim,B1,,Is that a fair value?,O adil bir değer mi?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,vanish,"ortadan kaybolmak, yitmek, kayıplara karışmak",sıfat,B1,,Tom's smile vanished instantly.,Tom'un gülümsemesi anında kayboldu.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,variable,"değişken, uyuşmazlık, değişken şey",sıfat,B2,,Variable names in C are case sensitive.,C'deki değişken isimler büyük küçük harfe duyarlıdır.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,variables,değişkenler,isim,B2,,It depends upon several variables.,Birkaç değişkene bağlıdır.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,variation,"varyasyon, farklılık, fark",isim,B2,,The investigation highlighted the critical role of variation.,Soruşturma varyasyon kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,variety,"çeşitlilik, çeşit, sosis",isim,B2,,He grew a variety of crops.,Çeşitli ekinler yetiştirdi.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,various,"çeşitli, muhtelif, birkaç",sıfat,B2,,He's collecting various data.,O çeşitli veriler topluyor.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,vehicle,"araç, taşıt, vasıta",isim,B2,,Step away from the vehicle.,Araçtan uzaklaş.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,vehicles,"taşıt araçları, taşıtlar",isim,B2,,"Cars, buses, and trucks are all vehicles.","Arabalar, otobüsler, kamyonlar; hepsi birer araçtır."
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,vein,"damar, damarlarla kaplamak, huy",isim,B1,,A dye was injected into a vein of the patient's arm.,Bir boya hastanın kol damarına enjekte edilebilir.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,venomous,"haince, düşman, ağılı",sıfat,B2,,This snake isn't venomous.,Bu yılan zehirli değil.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,venture,"girişim, tehlikeye atmak, riske atmak",isim,B2,,Spying on gangsters was a dangerous venture.,Gangasterlerle ilgili casusluk yapmak tehlikeli bir girişimdi.
